"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
States,New York,2010,40,300,1,0,0,0,3,0,0,0
States,New York,2010,41,262,0.76,0,0,0,1,0,1,0
States,New York,2010,42,327,0.61,0,0,2,0,0,0,0
States,New York,2010,43,294,1.36,0,0,2,2,0,0,0
States,New York,2010,44,360,2.5,0,0,7,1,0,1,0
States,New York,2010,45,407,3.44,0,0,9,5,0,0,0
States,New York,2010,46,421,6.18,0,0,14,12,0,0,0
States,New York,2010,47,534,5.24,0,0,10,17,0,1,0
States,New York,2010,48,654,5.5,0,0,19,17,0,0,0
States,New York,2010,49,538,11.9,4,0,43,16,0,1,0
States,New York,2010,50,697,10.62,4,0,49,19,0,2,0
States,New York,2010,51,776,17.78,0,0,87,44,0,7,0
States,New York,2010,52,883,24.46,1,0,135,78,0,2,0
States,New York,2011,1,1164,21.65,8,0,132,103,0,9,0
States,New York,2011,2,989,23.36,9,0,120,92,0,10,0
States,New York,2011,3,996,22.89,8,0,113,101,0,6,0
States,New York,2011,4,1040,25.58,22,0,86,126,0,32,0
States,New York,2011,5,996,26,18,0,70,119,0,52,0
States,New York,2011,6,1013,27.05,25,0,71,128,0,50,0
States,New York,2011,7,1136,30.37,28,0,88,157,0,72,0
States,New York,2011,8,1139,27.3,21,0,68,151,0,71,0
States,New York,2011,9,983,25.43,12,0,69,113,0,56,0
States,New York,2011,10,893,20.6,11,0,43,75,0,55,0
States,New York,2011,11,858,16.67,3,0,30,54,0,56,0
States,New York,2011,12,732,18.58,8,0,28,47,0,53,0
States,New York,2011,13,615,16.26,5,0,17,46,0,32,0
States,New York,2011,14,632,12.5,4,0,11,15,0,49,0
States,New York,2011,15,561,9.98,7,0,12,9,0,28,0
States,New York,2011,16,432,6.02,3,0,4,3,0,16,0
States,New York,2011,17,294,5.44,2,0,5,5,0,4,0
States,New York,2011,18,323,1.24,0,0,0,0,0,4,0
States,New York,2011,19,239,0.84,0,0,0,0,0,2,0
States,New York,2011,20,307,0.33,0,0,0,0,0,1,0
States,New York,2011,21,221,0.9,1,0,0,0,0,1,0
States,New York,2011,22,207,0,0,0,0,0,0,0,0
States,New York,2011,23,188,0,0,0,0,0,0,0,0
States,New York,2011,24,153,0,0,0,0,0,0,0,0
States,New York,2011,25,170,0.59,0,0,0,0,0,1,0
States,New York,2011,26,127,0,0,0,0,0,0,0,0
States,New York,2011,27,128,0,0,0,0,0,0,0,0
States,New York,2011,28,126,0.79,0,0,1,0,0,0,0
States,New York,2011,29,122,1.64,0,0,2,0,0,0,0
States,New York,2011,30,90,1.11,0,0,1,0,0,0,0
States,New York,2011,31,123,0,0,0,0,0,0,0,0
States,New York,2011,32,129,0.78,0,0,0,0,0,1,0
States,New York,2011,33,49,0,0,0,0,0,0,0,0
States,New York,2011,34,121,0,0,0,0,0,0,0,0
States,New York,2011,35,119,0,0,0,0,0,0,0,0
States,New York,2011,36,56,0,0,0,0,0,0,0,0
States,New York,2011,37,157,0,0,0,0,0,0,0,0
States,New York,2011,38,158,0.63,0,0,0,1,0,0,0
States,New York,2011,39,253,0,0,0,0,0,0,0,0
States,New York,2011,40,223,0,0,0,0,0,0,0,0
States,New York,2011,41,301,0,0,0,0,0,0,0,0
States,New York,2011,42,328,0.3,0,0,1,0,0,0,0
States,New York,2011,43,314,0.32,0,0,0,1,0,0,0
States,New York,2011,44,334,0,0,0,0,0,0,0,0
States,New York,2011,45,373,0.27,0,0,1,0,0,0,0
States,New York,2011,46,405,0.74,0,0,1,1,0,1,0
States,New York,2011,47,379,0.26,0,0,1,0,0,0,0
States,New York,2011,48,416,0,0,0,0,0,0,0,0
States,New York,2011,49,227,0.44,1,0,0,0,0,0,0
States,New York,2011,50,205,0.98,0,0,2,0,0,0,0
States,New York,2011,51,259,1.16,0,0,3,0,0,0,0
States,New York,2011,52,277,0,0,0,0,0,0,0,0
States,New York,2012,1,263,0.76,0,0,1,1,0,0,0
States,New York,2012,2,290,1.38,0,0,2,1,0,1,0
States,New York,2012,3,262,3.44,0,0,7,1,0,1,0
States,New York,2012,4,260,1.54,1,0,2,0,0,1,0
States,New York,2012,5,296,5.41,2,0,7,1,0,6,0
States,New York,2012,6,295,2.71,0,0,4,2,0,2,0
States,New York,2012,7,310,12.58,9,0,18,5,0,7,0
States,New York,2012,8,273,8.42,6,0,4,11,0,2,0
States,New York,2012,9,322,13.04,16,0,13,6,0,7,0
States,New York,2012,10,252,15.87,16,0,10,9,0,5,0
States,New York,2012,11,232,26.72,17,0,16,21,0,8,0
States,New York,2012,12,248,29.84,26,0,21,17,0,10,0
States,New York,2012,13,228,14.47,16,0,8,4,0,5,0
States,New York,2012,14,293,12.63,10,0,13,6,0,8,0
States,New York,2012,15,192,21.88,8,0,14,5,0,15,0
States,New York,2012,16,209,17.7,8,0,9,10,0,10,0
States,New York,2012,17,157,17.2,1,0,9,7,0,10,0
States,New York,2012,18,145,26.21,3,0,10,6,0,19,0
States,New York,2012,19,161,25.47,2,0,17,13,0,9,0
States,New York,2012,20,119,15.97,0,0,7,4,0,8,0
States,New York,2012,21,104,14.42,1,0,3,4,0,7,0
States,New York,2012,22,92,6.52,0,0,2,0,0,4,0
States,New York,2012,23,90,5.56,1,0,3,1,0,0,0
States,New York,2012,24,98,6.12,0,0,1,2,0,3,0
States,New York,2012,25,70,4.29,0,0,3,0,0,0,0
States,New York,2012,26,83,2.41,0,0,0,1,0,1,0
States,New York,2012,27,69,0,0,0,0,0,0,0,0
States,New York,2012,28,55,3.64,0,0,1,1,0,0,0
States,New York,2012,29,52,0,0,0,0,0,0,0,0
States,New York,2012,30,54,5.56,0,0,2,0,0,1,0
States,New York,2012,31,42,0,0,0,0,0,0,0,0
States,New York,2012,32,60,5,0,0,3,0,0,0,0
States,New York,2012,33,57,3.51,1,0,1,0,0,0,0
States,New York,2012,34,67,0,0,0,0,0,0,0,0
States,New York,2012,35,68,2.94,0,0,1,0,0,1,0
States,New York,2012,36,90,0,0,0,0,0,0,0,0
States,New York,2012,37,94,3.19,0,0,0,0,0,3,0
States,New York,2012,38,106,0.94,0,0,0,0,0,1,0
States,New York,2012,39,111,0,0,0,0,0,0,0,0
States,New York,2012,40,387,0.78,1,0,1,0,0,1,0
States,New York,2012,41,403,1.24,1,0,1,0,0,3,0
States,New York,2012,42,467,3.43,0,0,9,4,0,3,0
States,New York,2012,43,443,4.06,1,0,10,3,0,4,0
States,New York,2012,44,339,3.83,0,0,8,3,0,2,0
States,New York,2012,45,451,3.33,1,0,4,6,0,4,0
States,New York,2012,46,504,8.33,0,0,20,18,0,4,0
States,New York,2012,47,547,9.32,0,0,29,17,0,5,0
States,New York,2012,48,686,19.1,2,0,77,40,0,12,0
States,New York,2012,49,932,20.6,4,0,113,65,0,10,0
States,New York,2012,50,1376,29.65,7,0,192,194,0,15,0
States,New York,2012,51,1750,40,3,0,359,311,0,27,0
States,New York,2012,52,1850,35.46,7,0,326,299,0,24,0
States,New York,2013,1,1989,31.42,8,0,224,353,0,40,0
States,New York,2013,2,2460,30.16,22,0,267,390,0,63,0
States,New York,2013,3,2782,23.87,23,0,214,351,0,76,0
States,New York,2013,4,2134,19.31,20,0,124,209,0,59,0
States,New York,2013,5,1893,18.75,13,0,110,163,0,69,0
States,New York,2013,6,1455,16.84,12,0,33,81,0,119,0
States,New York,2013,7,1285,17.67,4,0,23,67,0,133,0
States,New York,2013,8,1148,18.64,1,0,17,57,0,139,0
States,New York,2013,9,1131,14.94,2,0,6,30,0,131,0
States,New York,2013,10,1008,14.68,2,0,4,24,0,118,0
States,New York,2013,11,1066,15.67,1,0,1,14,0,151,0
States,New York,2013,12,979,16.14,1,0,4,14,0,139,0
States,New York,2013,13,878,16.51,4,0,4,6,0,131,0
States,New York,2013,14,724,12.15,2,0,1,5,0,80,0
States,New York,2013,15,686,10.5,1,0,0,1,0,70,0
States,New York,2013,16,586,7.51,1,0,1,1,0,41,0
States,New York,2013,17,525,4.95,1,0,0,1,0,24,0
States,New York,2013,18,562,3.91,0,0,1,0,0,21,0
States,New York,2013,19,569,1.58,2,0,0,0,0,7,0
States,New York,2013,20,420,1.43,0,0,0,2,0,4,0
States,New York,2013,21,454,0.88,1,0,1,1,0,1,0
States,New York,2013,22,383,0.26,0,0,0,0,0,1,0
States,New York,2013,23,388,1.03,2,0,2,0,0,0,0
States,New York,2013,24,341,0.29,1,0,0,0,0,0,0
States,New York,2013,25,339,0.59,1,0,0,0,0,1,0
States,New York,2013,26,284,0,0,0,0,0,0,0,0
States,New York,2013,27,289,0.35,1,0,0,0,0,0,0
States,New York,2013,28,288,0,0,0,0,0,0,0,0
States,New York,2013,29,236,0.42,1,0,0,0,0,0,0
States,New York,2013,30,288,0.35,0,0,0,1,0,0,0
States,New York,2013,31,286,0,0,0,0,0,0,0,0
States,New York,2013,32,291,0,0,0,0,0,0,0,0
States,New York,2013,33,267,0,0,0,0,0,0,0,0
States,New York,2013,34,289,0,0,0,0,0,0,0,0
States,New York,2013,35,281,0.71,1,0,1,0,0,0,0
States,New York,2013,36,267,0.75,0,0,2,0,0,0,0
States,New York,2013,37,310,0.32,1,0,0,0,0,0,0
States,New York,2013,38,357,1.12,2,0,2,0,0,0,0
States,New York,2013,39,518,0.97,1,0,2,1,0,1,0
States,New York,2013,40,486,1.03,1,0,2,0,0,2,0
States,New York,2013,41,510,0.2,1,0,0,0,0,0,0
States,New York,2013,42,541,0.37,1,0,0,1,0,0,0
States,New York,2013,43,569,0.18,1,0,0,0,0,0,0
States,New York,2013,44,580,1.03,1,0,3,2,0,0,0
States,New York,2013,45,638,1.72,6,0,0,3,0,2,0
States,New York,2013,46,649,1.39,1,0,1,3,0,4,0
States,New York,2013,47,673,0.89,2,0,0,3,0,1,0
States,New York,2013,48,629,3.34,11,0,1,7,0,2,0
States,New York,2013,49,829,4.95,21,0,2,8,0,10,0
States,New York,2013,50,843,9.49,54,0,2,20,0,4,0
States,New York,2013,51,949,13.28,68,0,1,55,0,2,0
States,New York,2013,52,1181,21.76,154,0,4,96,0,3,0
States,New York,2014,1,1326,20.06,156,0,2,106,0,2,0
States,New York,2014,2,1510,18.41,160,0,5,113,0,0,0
States,New York,2014,3,1439,22.03,167,0,3,145,0,2,0
States,New York,2014,4,1559,24.37,166,0,5,202,0,7,0
States,New York,2014,5,1518,18.97,153,0,9,118,0,8,0
States,New York,2014,6,1328,19.88,118,0,18,113,0,15,0
States,New York,2014,7,1243,19.07,94,0,10,106,0,27,0
States,New York,2014,8,1080,12.59,45,0,6,64,0,21,0
States,New York,2014,9,1046,15.01,42,0,12,59,0,44,0
States,New York,2014,10,951,12.83,29,0,5,28,0,60,0
States,New York,2014,11,1018,16.99,28,0,15,30,0,100,0
States,New York,2014,12,1035,18.84,16,0,18,35,0,126,0
States,New York,2014,13,1169,21.47,13,0,26,42,0,170,0
States,New York,2014,14,1153,24.63,7,0,51,42,0,184,0
States,New York,2014,15,1172,22.44,8,0,51,30,0,174,0
States,New York,2014,16,1075,20.19,3,0,49,22,0,143,0
States,New York,2014,17,903,15.39,3,0,31,26,0,79,0
States,New York,2014,18,741,11.61,2,0,22,15,0,47,0
States,New York,2014,19,690,9.28,0,0,14,8,0,42,0
States,New York,2014,20,631,7.92,0,0,11,11,0,28,0
States,New York,2014,21,557,3.59,1,0,5,6,0,8,0
States,New York,2014,22,512,1.76,2,0,1,1,0,5,0
